feature_index,pca_importance,feature_name
359,0.002214368213183057,fBodyAccJerk-sma()
280,0.0022123328509759217,fBodyAcc-sma()
95,0.0022104298865954857,tBodyAccJerk-sma()
231,0.0022101374469323527,tBodyAccJerkMag-sma()
226,0.0022101374469323523,tBodyAccJerkMag-mean()
438,0.0022093202920336493,fBodyGyro-sma()
15,0.0022034247944221195,tBodyAcc-sma()
345,0.0022022505770289743,fBodyAccJerk-mean()-Y
252,0.002202025449186243,tBodyGyroJerkMag-mean()
257,0.0022020254491862427,tBodyGyroJerkMag-sma()
175,0.0022019596382297185,tBodyGyroJerk-sma()
84,0.002201872907047972,tBodyAccJerk-std()-Y
200,0.0022016433022611984,tBodyAccMag-mean()
218,0.0022016433022611984,tGravityAccMag-sma()
213,0.0022016433022611984,tGravityAccMag-mean()
205,0.0022016433022611984,tBodyAccMag-sma()
3,0.0022012794794959226,tBodyAcc-std()-X
344,0.0021999518373916113,fBodyAccJerk-mean()-X
228,0.002199645015785,tBodyAccJerkMag-mad()
265,0.002199289126572958,fBodyAcc-mean()-X
83,0.002198880627099752,tBodyAccJerk-std()-X
520,0.002197802762328213,fBodyBodyAccJerkMag-sma()
515,0.002197802762328213,fBodyBodyAccJerkMag-mean()
232,0.002197057098498541,tBodyAccJerkMag-energy()
227,0.002196741703941839,tBodyAccJerkMag-std()
266,0.0021957846102670987,fBodyAcc-mean()-Y
